City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
566,Letlhakeng,BW,50.16,clear sky,-24.0944,25.0298,fenugreek
581,Moron,AR,51.03,clear sky,-34.6534,-58.6198,Hotel Morón
586,Andenes,NO,46.38,light intensity drizzle,69.3143,16.1194,Hotell Marena
587,Inta,RU,49.14,broken clouds,66.0317,60.1659,Apartments in Inta city
603,Berlevag,NO,45.73,light rain,70.8578,29.0864,Kvitbrakka
620,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
639,Mehamn,NO,45.01,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
657,Chimbarongo,CL,47.28,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
660,Carlos Antonio Lopez,PY,53.55,clear sky,-26.4,-54.7667,Milenium
668,Olafsvik,IS,53.2,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
670,Hammerfest,NO,45.05,light rain,70.6634,23.6821,Skytterhuset
676,Severobaykalsk,RU,54.68,broken clouds,55.65,109.3167,Hostel03RUS
680,Viedma,AR,52.0,clear sky,-40.8135,-62.9967,Hotel Cristal
695,Tonstad,NO,53.24,overcast clouds,58.6626,6.7169,"Tonstadli Ferie, Kurs og Misjonssenter"
696,Broken Hill,AU,54.82,clear sky,-31.95,141.4333,Royal Exchange Hotel
698,Yar-Sale,RU,54.73,light rain,66.8333,70.8333,Yalemd
