City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
69,Houma,US,29.5958,-90.7195,90.0,70,1,6.91,clear sky
70,Bilibino,RU,68.0546,166.4372,46.31,50,78,8.66,broken clouds
71,Hilo,US,19.7297,-155.09,78.12,79,75,3.0,light rain
72,Carnarvon,AU,-24.8667,113.6333,50.07,66,0,10.36,clear sky
73,Khasan,RU,42.4308,130.6434,75.61,90,96,19.28,overcast clouds
74,Herat,AF,34.5,62.0,73.27,16,0,19.37,clear sky
75,San Pedro,PH,14.35,121.0167,85.32,78,100,17.58,overcast clouds
76,Ouadda,CF,8.0777,22.4007,66.2,98,100,3.49,overcast clouds
77,Concordia,AR,-31.393,-58.0209,49.48,74,0,6.24,clear sky
78,Udachnyy,RU,66.4167,112.4,74.5,36,36,7.54,scattered clouds
79,Sorso,IT,40.8,8.5772,68.49,74,24,6.2,few clouds
80,Willowmore,ZA,-33.2926,23.4895,46.78,85,15,5.1,few clouds
81,Severo-Kurilsk,RU,50.6789,156.125,56.82,69,1,14.54,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,93.81,67,20,4.0,few clouds
83,Galle,LK,6.0367,80.217,78.35,87,100,10.42,overcast clouds
84,Mahebourg,MU,-20.4081,57.7,66.25,66,40,12.15,scattered clouds
85,Mecca,SA,21.4267,39.8261,88.03,47,11,7.45,few clouds
86,Yarmouth,US,41.7057,-70.2286,70.65,74,75,4.0,broken clouds
87,Tiksi,RU,71.6872,128.8694,50.47,66,23,5.77,few clouds
88,Chuy,UY,-33.6971,-53.4616,49.77,93,30,5.7,scattered clouds
89,Luderitz,NA,-26.6481,15.1594,64.56,38,0,6.42,clear sky
90,Geraldton,AU,-28.7667,114.6,46.13,93,4,11.5,clear sky
91,Mao,ES,39.8885,4.2658,70.36,78,0,4.61,clear sky
92,Zhigansk,RU,66.7697,123.3711,69.51,54,34,15.9,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,54.9,83,96,2.57,overcast clouds
